datetime,TG,SQ,DR,RH,EV24
2020-10-15 00:00:00+00:00,102.0,59.0,0.0,0.0,0.0012
2020-10-16 00:00:00+00:00,84.0,63.0,0.0,0.0,0.0012
2020-10-17 00:00:00+00:00,82.0,7.0,13.0,0.0004,0.0005
2020-10-18 00:00:00+00:00,99.0,7.0,18.0,0.0019,0.0006
2020-10-19 00:00:00+00:00,108.0,44.0,0.0,0.0,0.001
2020-10-20 00:00:00+00:00,131.0,0.0,5.0,0.0002,0.0004
2020-10-21 00:00:00+00:00,156.0,24.0,77.0,0.0107,0.0007
2020-10-22 00:00:00+00:00,135.0,49.0,3.0,0.001,0.0009
2020-10-23 00:00:00+00:00,126.0,42.0,0.0,0.0,0.0009
2020-10-24 00:00:00+00:00,143.0,24.0,0.0,0.0,0.0009
2020-10-25 00:00:00+00:00,120.0,10.0,17.0,0.0028,0.0004
2020-10-26 00:00:00+00:00,102.0,65.0,8.0,0.0005,0.0011
2020-10-27 00:00:00+00:00,102.0,10.0,20.0,0.0013,0.0006
2020-10-28 00:00:00+00:00,103.0,18.0,58.0,0.0096,0.0004
2020-10-29 00:00:00+00:00,116.0,5.0,39.0,0.0027,0.0005
2020-10-30 00:00:00+00:00,146.0,2.0,0.0,0.0,0.0004
2020-10-31 00:00:00+00:00,133.0,11.0,7.0,0.0013,0.0006
2020-11-01 00:00:00+00:00,149.0,9.0,12.0,0.0005,0.0005
2020-11-02 00:00:00+00:00,152.0,15.0,18.0,0.0017,0.0003
2020-11-03 00:00:00+00:00,89.0,52.0,0.0,0.0,0.0008
2020-11-04 00:00:00+00:00,69.0,85.0,0.0,0.0,0.001
2020-11-05 00:00:00+00:00,70.0,75.0,0.0,0.0,0.0009
2020-11-06 00:00:00+00:00,71.0,82.0,0.0,0.0,0.0009
2020-11-07 00:00:00+00:00,79.0,68.0,0.0,0.0,0.0008
2020-11-08 00:00:00+00:00,107.0,52.0,0.0,0.0,0.0008
2020-11-09 00:00:00+00:00,115.0,50.0,0.0,0.0,0.0009
2020-11-10 00:00:00+00:00,117.0,26.0,12.0,0.001,0.0006
2020-11-11 00:00:00+00:00,113.0,13.0,0.0,0.0,0.0004
2020-11-12 00:00:00+00:00,108.0,62.0,14.0,0.0027,0.0008
2020-11-13 00:00:00+00:00,106.0,15.0,0.0,0.0,0.0003
2020-11-14 00:00:00+00:00,128.0,27.0,6.0,0.0007,0.0006
2020-11-15 00:00:00+00:00,125.0,12.0,47.0,0.0057,0.0002
2020-11-16 00:00:00+00:00,103.0,0.0,3.0,0.0001,0.0002
2020-11-17 00:00:00+00:00,120.0,3.0,8.0,0.0001,0.0003
2020-11-18 00:00:00+00:00,127.0,74.0,4.0,0.0002,0.0008
2020-11-19 00:00:00+00:00,90.0,8.0,26.0,0.004,0.0003
2020-11-20 00:00:00+00:00,63.0,25.0,7.0,0.0008,0.0004
2020-11-21 00:00:00+00:00,94.0,7.0,0.0,0.0,0.0003
2020-11-22 00:00:00+00:00,92.0,12.0,29.0,0.002,0.0002
2020-11-23 00:00:00+00:00,75.0,60.0,0.0,0.0,0.0006
2020-11-24 00:00:00+00:00,82.0,24.0,0.0,0.0,0.0004
2020-11-25 00:00:00+00:00,78.0,55.0,0.0,0.0,0.0005
2020-11-26 00:00:00+00:00,89.0,0.0,17.0,0.0012,0.0001
2020-11-27 00:00:00+00:00,77.0,0.0,0.0,0.0,0.0001
2020-11-28 00:00:00+00:00,59.0,70.0,0.0,0.0,0.0005
2020-11-29 00:00:00+00:00,28.0,0.0,0.0,0.0,0.0001
2020-11-30 00:00:00+00:00,50.0,0.0,42.0,0.0042,0.0001
2020-12-01 00:00:00+00:00,87.0,16.0,30.0,0.0039,0.0003
2020-12-02 00:00:00+00:00,66.0,3.0,0.0,0.0,0.0003
